cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
0100100013219,1907.3492240542175,128325.0,0.014863310818183513,0.0015964933268697657,2,5,Low-gap
0100100013223,5867.781886775604,127230.0,0.046119121022200595,0.004878799034604642,4,5,Medium-gap
0100100013238,3513.45446858738,123165.0,0.02852617174047529,0.0030435522802457374,3,3,Medium-gap
0100100013242,3019.703660387824,80.0,37.280292103553386,0.39441105055188963,3,1,Medium-gap
0100100013257,4649.935197797449,125215.0,0.03713531176365201,0.003945522903428744,3,4,Medium-gap
0100100013261,8612.115714776051,127970.0,0.06729740108912216,0.007047548500500188,5,5,Medium-gap
0100100013276,7581.996196844332,123975.0,0.06115696745212244,0.006423202747737604,5,3,Medium-gap
0100100013280,1873.481992045816,127030.0,0.014748226748162386,0.0015842219993172702,2,5,Low-gap
0100100013295,2746.166391120843,128245.0,0.021413271299852182,0.0022926270443468584,3,5,Medium-gap
0100100013308,9782.755166814211,123540.0,0.07918630387332312,0.008246241253658205,5,3,Medium-gap
0100100013312,10005.18168403576,124945.0,0.08007604632429818,0.00833541729364283,5,4,Medium-gap
0100100013327,8651.290507019588,124945.0,0.06924023583803875,0.0072443437873926115,5,4,Medium-gap
0100100013331,7068.2067087446885,124825.0,0.056624474939072696,0.005960026928067979,4,4,Medium-gap
0100100013346,3975.3657654748886,125235.0,0.03174299534858099,0.003381455940173559,3,4,Medium-gap
0100100013350,0.0,115470.0,0.0,0.0,1,2,Medium-gap
0100100013365,244.6001588626277,0.0,244.6001588626277,0.5955447467835405,1,1,Medium-gap
0100100013399,7040.952602106268,124945.0,0.056351964865672115,0.005932115814287488,4,4,Medium-gap
0100100013401,1070.539579959359,0.0,1070.539579959359,0.754950988301702,2,1,Medium-gap
0100100013454,342.716034443259,107540.0,0.003186840688139956,0.00034429325917250357,1,2,Medium-gap
0100100013488,0.0,0.0,0.0,0.0,1,1,Medium-gap
0100100013492,7656.454658349963,88555.0,0.08645890350004476,0.008973005011540343,5,2,High-gap
0100100013505,7884.66729200082,112840.0,0.06987413521681676,0.007308475906738547,5,2,High-gap
0100100013524,126.34406272812588,122740.0,0.001029355005484116,0.0001113271312176253,1,3,Medium-gap
0100100013539,2804.145583814497,114360.0,0.024520121228517565,0.002621265497396532,3,2,Medium-gap
0100100013562,153.48458733336346,123165.0,0.0012461603635204803,0.00013476053816691277,1,3,Medium-gap
0100100013577,1244.675417618835,123975.0,0.010039648138501282,0.0010809528190816981,2,3,Medium-gap
0100100013581,1878.1686930574087,123975.0,0.015149453870566954,0.0016269985143440046,2,3,Medium-gap
0100100013596,1385.4787397724217,115695.0,0.011975165431582956,0.0012881110121453962,2,2,Medium-gap
0100100013609,1818.4904122237065,120570.0,0.015082320062234754,0.0016198422739222903,2,3,Medium-gap
0100100013613,5015.463046295188,123540.0,0.04059755907994259,0.004306149735899674,4,3,Medium-gap
0100100013670,0.0,0.0,0.0,0.0,1,1,Medium-gap
0100100013685,2683.0388278557134,97030.0,0.027651357069964376,0.0029514766428988043,2,2,Medium-gap
0100100013702,7830.458500947779,112630.0,0.06952311975342293,0.007272968081207012,5,2,High-gap
0100100013717,6783.785642909411,112415.0,0.06034537470564164,0.006340411596588792,4,2,High-gap
0100100013721,10489.628615316278,122850.0,0.08538496728000812,0.008865991360262645,5,3,Medium-gap
0100100013736,3971.703426334591,120750.0,0.03289168144640285,0.0035018617522425428,3,3,Medium-gap
0100100013740,1423.1935853736095,123975.0,0.01147958948000911,0.0012351073358493694,2,3,Medium-gap
