route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
C127-V1,retire,"Route has low demand-gain (f1=0.002, score=0.149) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.1486614598208119,,,Reduce frequency or retire C127-V1; reallocate vehicles to higher-demand routes.
C128,shortcut,Route detour_ratio=1.69 > 1.5. Current route_km=35.0km; estimated shortcut=22.8km (straight_line_km=20.8km x 1.1).,0.1365011384736544,0.1963,,Replace detoured alignment with direct route between highest-demand endpoints (~22.8km).
C128A-V1,retire,"Route has low demand-gain (f1=0.007, score=0.182) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.18192892726861698,,,Reduce frequency or retire C128A-V1; reallocate vehicles to higher-demand routes.
C129,merge,Route overlaps 61.0% of served AGEBs with C128A-V1 (Jaccard=0.61). Consolidation improves frequency without expanding coverage.,0.13367413813511472,,C128A-V1,Merge C129 into C128A-V1; combine headways to improve service frequency.
C12-V1,shortcut,Route detour_ratio=1.56 > 1.5. Current route_km=13.5km; estimated shortcut=9.6km (straight_line_km=8.7km x 1.1).,0.28328849525987865,0.3163,,Replace detoured alignment with direct route between highest-demand endpoints (~9.6km).
C130,merge,Route overlaps 86.3% of served AGEBs with C125-V1 (Jaccard=0.86). Consolidation improves frequency without expanding coverage.,0.1379441030264355,,C125-V1,Merge C130 into C125-V1; combine headways to improve service frequency.
C132,shortcut,Route detour_ratio=3.06 > 1.5. Current route_km=24.3km; estimated shortcut=8.8km (straight_line_km=8.0km x 1.1).,0.21777873177877066,0.3477,,Replace detoured alignment with direct route between highest-demand endpoints (~8.8km).
C133-V1,shortcut,Route detour_ratio=27293.67 > 1.5. Current route_km=27.3km; estimated shortcut=0.0km (straight_line_km=0.0km x 1.1).,0.16005996889104807,0.3875,,Replace detoured alignment with direct route between highest-demand endpoints (~0.0km).
C133-V2,retire,"Route has low demand-gain (f1=0.006, score=0.256) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.25619288249317657,,,Reduce frequency or retire C133-V2; reallocate vehicles to higher-demand routes.
C134,retire,"Route has low demand-gain (f1=0.002, score=0.209) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.20936897684302647,,,Reduce frequency or retire C134; reallocate vehicles to higher-demand routes.
C135,shortcut,Route detour_ratio=2.24 > 1.5. Current route_km=34.8km; estimated shortcut=17.1km (straight_line_km=15.5km x 1.1).,0.13942255500720938,0.2471,,Replace detoured alignment with direct route between highest-demand endpoints (~17.1km).
C136,shortcut,Route detour_ratio=1.93 > 1.5. Current route_km=35.4km; estimated shortcut=20.2km (straight_line_km=18.4km x 1.1).,0.1436612893393668,0.2254,,Replace detoured alignment with direct route between highest-demand endpoints (~20.2km).
C138,shortcut,Route detour_ratio=33990.50 > 1.5. Current route_km=34.0km; estimated shortcut=0.0km (straight_line_km=0.0km x 1.1).,0.21287073464929546,0.4629,,Replace detoured alignment with direct route between highest-demand endpoints (~0.0km).
C13-V1,shortcut,Route detour_ratio=1.69 > 1.5. Current route_km=16.6km; estimated shortcut=10.8km (straight_line_km=9.8km x 1.1).,0.2628766638821494,0.3113,,Replace detoured alignment with direct route between highest-demand endpoints (~10.8km).
C13-V2,shortcut,Route detour_ratio=1.68 > 1.5. Current route_km=9.6km; estimated shortcut=6.3km (straight_line_km=5.7km x 1.1).,0.31201601805554524,0.3396,,Replace detoured alignment with direct route between highest-demand endpoints (~6.3km).
C13-V3,shortcut,Route detour_ratio=3.02 > 1.5. Current route_km=10.2km; estimated shortcut=3.7km (straight_line_km=3.4km x 1.1).,0.3117585307697711,0.3658,,Replace detoured alignment with direct route between highest-demand endpoints (~3.7km).
C14-V1,shortcut,Route detour_ratio=1.51 > 1.5. Current route_km=36.8km; estimated shortcut=26.8km (straight_line_km=24.3km x 1.1).,0.13757908678375272,0.1645,,Replace detoured alignment with direct route between highest-demand endpoints (~26.8km).
C14-V2,shortcut,Route detour_ratio=1.59 > 1.5. Current route_km=24.6km; estimated shortcut=17.0km (straight_line_km=15.4km x 1.1).,0.18482462923396542,0.2486,,Replace detoured alignment with direct route between highest-demand endpoints (~17.0km).
C15,retire,"Route has low demand-gain (f1=0.017, score=0.156) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.1557198563799387,,,Reduce frequency or retire C15; reallocate vehicles to higher-demand routes.
C16,shortcut,Route detour_ratio=3.00 > 1.5. Current route_km=15.4km; estimated shortcut=5.6km (straight_line_km=5.1km x 1.1).,0.26288699297050416,0.344,,Replace detoured alignment with direct route between highest-demand endpoints (~5.6km).
C17,shortcut,Route detour_ratio=2.06 > 1.5. Current route_km=25.9km; estimated shortcut=13.8km (straight_line_km=12.6km x 1.1).,0.17548535090811299,0.2762,,Replace detoured alignment with direct route between highest-demand endpoints (~13.8km).
C18,retire,"Route has low demand-gain (f1=0.002, score=0.258) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.25816740724109155,,,Reduce frequency or retire C18; reallocate vehicles to higher-demand routes.
C19,shortcut,Route detour_ratio=1.76 > 1.5. Current route_km=25.0km; estimated shortcut=15.6km (straight_line_km=14.1km x 1.1).,0.18289689993616182,0.2612,,Replace detoured alignment with direct route between highest-demand endpoints (~15.6km).
C20-V1,shortcut,Route detour_ratio=1.67 > 1.5. Current route_km=23.4km; estimated shortcut=15.4km (straight_line_km=14.0km x 1.1).,0.1965285070396165,0.263,,Replace detoured alignment with direct route between highest-demand endpoints (~15.4km).
C21,merge,Route overlaps 97.7% of served AGEBs with C16 (Jaccard=0.98). Consolidation improves frequency without expanding coverage.,0.2614801092919192,,C16,Merge C21 into C16; combine headways to improve service frequency.
C22,shortcut,Route detour_ratio=2.05 > 1.5. Current route_km=15.5km; estimated shortcut=8.3km (straight_line_km=7.5km x 1.1).,0.26811090594409015,0.3279,,Replace detoured alignment with direct route between highest-demand endpoints (~8.3km).
C23,shortcut,Route detour_ratio=1.68 > 1.5. Current route_km=11.9km; estimated shortcut=7.8km (straight_line_km=7.1km x 1.1).,0.2919018761911252,0.3263,,Replace detoured alignment with direct route between highest-demand endpoints (~7.8km).
C25,retire,"Route has low demand-gain (f1=0.005, score=0.278) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.27783348962524496,,,Reduce frequency or retire C25; reallocate vehicles to higher-demand routes.
C26,retire,"Route has low demand-gain (f1=0.001, score=0.204) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2040739329745554,,,Reduce frequency or retire C26; reallocate vehicles to higher-demand routes.
C27,shortcut,Route detour_ratio=2.06 > 1.5. Current route_km=27.8km; estimated shortcut=14.8km (straight_line_km=13.5km x 1.1).,0.1586942475230822,0.2671,,Replace detoured alignment with direct route between highest-demand endpoints (~14.8km).
C28,shortcut,Route detour_ratio=1.64 > 1.5. Current route_km=24.7km; estimated shortcut=16.6km (straight_line_km=15.1km x 1.1).,0.18546605135480237,0.2531,,Replace detoured alignment with direct route between highest-demand endpoints (~16.6km).
C29-V1,retire,"Route has low demand-gain (f1=0.001, score=0.294) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.29410108880104546,,,Reduce frequency or retire C29-V1; reallocate vehicles to higher-demand routes.
C29-V2,shortcut,Route detour_ratio=2.12 > 1.5. Current route_km=18.9km; estimated shortcut=9.8km (straight_line_km=8.9km x 1.1).,0.2503872382346515,0.3259,,Replace detoured alignment with direct route between highest-demand endpoints (~9.8km).
