cve_ageb,IM_2020,GM_2020,IRS_2020,GRS_2020
1403000030177,117.7902993,Alto,8.7570621469,Medio
1403000030181,118.8813204,Medio,14.0659340659,Medio
1403000030251,121.716271,Bajo,11.0251450677,Bajo
1403000030266,121.331459,Bajo,15.5303030303,Medio
1403000030406,119.6967717,Medio,23.0769230769,Medio
140300005043A,121.6269615,Bajo,12.978986403,Bajo
1403000050444,121.4369224,Bajo,8.9574155653,Muy bajo
1403000050459,121.33436,Bajo,7.0796460177,Muy bajo
1403000050463,121.1014964,Medio,9.2077087794,Muy bajo
1403000050482,125.8080534,Muy bajo,2.9850746269,Muy bajo
1403000050586,122.1621875,Bajo,21.9512195122,Bajo
140310001009A,115.2861587,Alto,24.3697478992,Medio
1403100010102,104.6086164,Muy alto,37.037037037,Alto
1403100010117,113.6591992,Muy alto,26.4705882353,Medio
1403200010044,118.4114094,Alto,26.4758497317,Alto
1403200010059,116.6879177,Alto,30.9523809524,Alto
1403200010063,117.8413165,Alto,27.0833333333,Alto
1403200010078,116.5281318,Alto,33.4862385321,Alto
